model_name,price,manufacturing_year,engine_capacity,spare_key,transmission,km_driven,ownership,fuel_type,imperfections,repainted_parts
Hyundai Elite i20,629000,2016,1197,Yes,Manual,63842,1,PETROL,8,2
Maruti Swift Dzire,239000,2011,1197,Yes,Manual,38071,2,PETROL,8,2
Tata ALTROZ,697000,2020,1197,Yes,Manual,32282,1,PETROL,8,2
Maruti Celerio,352000,2015,1197,Yes,Manual,82969,2,PETROL,8,2
2023 Maruti BREZZA ZXI SMART HYBRID,1153000,2023,1462,Yes,Manual,7048,1,PETROL,3,0
Hyundai Elite i20,579000,2018,1197,Yes,Manual,65441,1,CNG,8,2
Hyundai Elite i20,574000,2018,1197,Yes,Manual,46184,2,PETROL,8,2
Renault Kwid,553000,2021,1197,Yes,Manual,20023,1,PETROL,8,2
Maruti Alto 800,315000,2018,1197,Yes,Manual,50603,1,PETROL,8,2
2015 Maruti Celerio VXI,382000,2015,998,No,Manual,59745,1,PETROL,16,10
Tata ALTROZ,794000,2021,1197,Yes,Manual,31750,2,PETROL,8,2
Hyundai Elite i20,639000,2019,1197,Yes,Manual,56414,1,CNG,8,2
Maruti New Wagon-R,548000,2019,1197,Yes,Manual,79510,1,PETROL,8,2
Hyundai i20,535000,2014,1197,Yes,Manual,77526,1,PETROL,8,2
Maruti S PRESSO,426000,2021,1197,Yes,Manual,25844,1,PETROL,8,2
Maruti Swift,705000,2020,1197,Yes,Manual,64086,1,PETROL,8,2
Toyota Etios,410000,2011,1197,Yes,Manual,45304,1,PETROL,8,2
Volkswagen Ameo,341000,2017,1197,Yes,Manual,31487,1,PETROL,8,2
Maruti Alto K10,383000,2017,1197,Yes,Manual,44351,1,PETROL,8,2
Toyota YARIS,614350,2020,1197,Yes,Manual,58531,1,DIESEL,8,2
Maruti S PRESSO,474000,2021,1197,Yes,Manual,17455,1,PETROL,8,2
Maruti Alto 800,326000,2017,1197,Yes,Manual,68359,1,PETROL,8,2
Hyundai Grand i10,547000,2018,1197,Yes,Manual,34780,2,PETROL,8,2
Maruti Wagon R 1.0,312000,2015,1197,Yes,Manual,92025,1,CNG,8,2
Maruti Alto 800,318000,2019,1197,Yes,Manual,57216,1,PETROL,8,2
Ford FREESTYLE,546000,2018,1197,Yes,Manual,51291,1,DIESEL,8,2
Hyundai NEW SANTRO,513000,2021,1197,Yes,Manual,18055,1,PETROL,8,2
Maruti S Cross,911000,2020,1197,Yes,Manual,6133,1,PETROL,8,2
Maruti Wagon R 1.0,337000,2017,1197,Yes,Manual,75047,1,PETROL,8,2
Honda WR-V,742000,2017,1197,Yes,Manual,65558,2,CNG,8,2
Honda Amaze,1019000,2016,1197,Yes,Manual,96733,1,DIESEL,8,2
2015 Maruti Celerio VXI,303000,2015,998,Yes,Manual,75874,1,PETROL,7,1
Maruti Ertiga,634000,2016,1197,Yes,Manual,60501,1,PETROL,8,2
Maruti Baleno,780000,2019,1197,Yes,Manual,16773,1,PETROL,8,2
Maruti Baleno,677000,2020,1197,Yes,Manual,11683,1,PETROL,8,2
Maruti Baleno,613000,2019,1197,Yes,Manual,20818,1,PETROL,8,2
Honda Brio,403000,2014,1197,Yes,Manual,61519,1,PETROL,8,2
Honda Amaze,422000,2021,1197,Yes,Manual,97084,1,PETROL,8,2
2017 Maruti Swift VXI O,511000,2017,1197,Yes,Manual,81391,1,PETROL,3,1
Maruti Celerio,468000,2018,1197,Yes,Manual,64461,1,CNG,8,2
Maruti Wagon R 1.0,446000,2018,1197,Yes,Manual,71723,1,CNG,8,2
Maruti Alto 800,318000,2017,1197,Yes,Manual,68031,1,CNG,8,2
Maruti Baleno,875000,2022,1197,Yes,Manual,6951,1,PETROL,8,2
Maruti Celerio,460000,2020,1197,Yes,Manual,74571,2,CNG,8,2
Maruti Celerio,617000,2021,1197,Yes,Manual,12364,1,PETROL,8,2
Tata Tiago,611000,2020,1197,Yes,Manual,18021,1,PETROL,8,2
Hyundai NEW I20,1011000,2021,1197,Yes,Manual,40429,2,PETROL,8,2
Maruti Ritz,377000,2011,1197,Yes,Manual,23103,1,PETROL,8,2
Maruti New Wagon-R,547000,2021,1197,Yes,Manual,18543,1,PETROL,8,2
Hyundai Eon,307000,2018,1197,Yes,Manual,86198,2,PETROL,8,2
Maruti Swift,184000,2010,1197,Yes,Manual,52483,1,PETROL,8,2
2020 Maruti New Wagon-R VXI 1.2,515000,2020,1197,Yes,Manual,48833,1,PETROL,9,3
Maruti Swift Dzire,513000,2015,1197,Yes,Manual,73002,2,PETROL,8,2
Maruti Alto 800,294000,2016,1197,Yes,Manual,91603,2,PETROL,8,2
Hyundai i10,317000,2011,1197,Yes,Manual,70681,1,PETROL,8,2
2019 Maruti Baleno ZETA PETROL 1.2,682000,2019,1197,Yes,Manual,31968,1,PETROL,2,1
Renault Kiger,962000,2022,1197,Yes,Manual,12907,1,PETROL,8,2
2018 Maruti Ciaz DELTA 1.4 AT PETROL,572000,2018,1373,Yes,Automatic,46722,2,PETROL,9,12
Hyundai i20,260000,2011,1197,Yes,Manual,93910,1,PETROL,8,2
Maruti Alto K10,378000,2018,1197,Yes,Manual,72531,1,PETROL,8,2
